grandeur,rpc_method,json_path,definition_fr,unite,plage_plausible,source_seuil,nature,role_metier,regle_usage,version
a_act_power,Shelly.GetComponents,$.a_act_power,Puissance active de la voie A : consommation totale instantanee du menage (P = U x I x cos phi),W,"[-100,14500)",Calibre TC 63 A x 230 V nominal,mesuree,mesure_consommation,Voie A = TOTAL du menage (pince en sortie du differentiel),1.0.0
a_act_power,Shelly.GetStatus,$.em:0.a_act_power,Puissance active de la voie A : consommation totale instantanee du menage (P = U x I x cos phi),W,"[-100,14500)",Calibre TC 63 A x 230 V nominal,mesuree,mesure_consommation,Voie A = TOTAL du menage (pince en sortie du differentiel),1.0.0
a_aprt_power,Shelly.GetComponents,$.a_aprt_power,"Puissance apparente de la voie A : S = U x I, appel brut au reseau",VA,"[0,14500)",Calibre TC 63 A x 230 V nominal,mesuree,mesure_consommation,Voie A = TOTAL du menage (pince en sortie du differentiel),1.0.0
a_aprt_power,Shelly.GetStatus,$.em:0.a_aprt_power,"Puissance apparente de la voie A : S = U x I, appel brut au reseau",VA,"[0,14500)",Calibre TC 63 A x 230 V nominal,mesuree,mesure_consommation,Voie A = TOTAL du menage (pince en sortie du differentiel),1.0.0
a_current,Shelly.GetComponents,$.a_current,Courant dans la phase unique du foyer (voie A) : a confronter au calibre du disjoncteur d abonne,A,"[0,63)",Calibre TC 63 A x 230 V nominal,mesuree,securite,Voie A = TOTAL du menage (pince en sortie du differentiel),1.0.0
a_current,Shelly.GetStatus,$.em:0.a_current,Courant dans la phase unique du foyer (voie A) : a confronter au calibre du disjoncteur d abonne,A,"[0,63)",Calibre TC 63 A x 230 V nominal,mesuree,securite,Voie A = TOTAL du menage (pince en sortie du differentiel),1.0.0
a_freq,Shelly.GetComponents,$.a_freq,Frequence du reseau mesuree sur la voie A,Hz,"[45,55)",Plage plausible reseau 50 Hz,mesuree,qualite_fourniture,Voie A = TOTAL du menage (pince en sortie du differentiel),1.0.0
a_freq,Shelly.GetStatus,$.em:0.a_freq,Frequence du reseau mesuree sur la voie A,Hz,"[45,55)",Plage plausible reseau 50 Hz,mesuree,qualite_fourniture,Voie A = TOTAL du menage (pince en sortie du differentiel),1.0.0
a_pf,Shelly.GetComponents,$.a_pf,"Facteur de puissance de la voie A, distorsion harmonique incluse",sans unite,"[-1,1)",Definition physique du ratio,mesuree,mesure_consommation,Inclut la distorsion : l ecart avec un cos phi reconstruit des energies chiffre les harmoniques,1.0.0
a_pf,Shelly.GetStatus,$.em:0.a_pf,"Facteur de puissance de la voie A, distorsion harmonique incluse",sans unite,"[-1,1)",Definition physique du ratio,mesuree,mesure_consommation,Inclut la distorsion : l ecart avec un cos phi reconstruit des energies chiffre les harmoniques,1.0.0
a_voltage,Shelly.GetComponents,$.a_voltage,Tension de fourniture au tableau (voie A),V,"[80,280)",Plausibilite capteur ; conformite fourniture 230 V +/-10 pct (207-253 V) a confirmer contractuellement,mesuree,qualite_fourniture,"Meme conducteur sur les 3 voies (monophase) : redondance = preuve, pas information",1.0.0
a_voltage,Shelly.GetStatus,$.em:0.a_voltage,Tension de fourniture au tableau (voie A),V,"[80,280)",Plausibilite capteur ; conformite fourniture 230 V +/-10 pct (207-253 V) a confirmer contractuellement,mesuree,qualite_fourniture,"Meme conducteur sur les 3 voies (monophase) : redondance = preuve, pas information",1.0.0
b_act_power,Shelly.GetComponents,$.b_act_power,"Puissance active du sous-circuit B, incluse dans A (appareils non identifies)",W,"[-100,14500)",Calibre TC 63 A x 230 V nominal,mesuree,sous_comptage,Partie INCLUSE dans A : ne JAMAIS additionner a A ; A - B = le reste,1.0.0
b_act_power,Shelly.GetStatus,$.em:0.b_act_power,"Puissance active du sous-circuit B, incluse dans A (appareils non identifies)",W,"[-100,14500)",Calibre TC 63 A x 230 V nominal,mesuree,sous_comptage,Partie INCLUSE dans A : ne JAMAIS additionner a A ; A - B = le reste,1.0.0
b_aprt_power,Shelly.GetComponents,$.b_aprt_power,Puissance apparente du sous-circuit B,VA,"[0,14500)",Calibre TC 63 A x 230 V nominal,mesuree,sous_comptage,Partie INCLUSE dans A : ne JAMAIS additionner a A ; A - B = le reste,1.0.0
b_aprt_power,Shelly.GetStatus,$.em:0.b_aprt_power,Puissance apparente du sous-circuit B,VA,"[0,14500)",Calibre TC 63 A x 230 V nominal,mesuree,sous_comptage,Partie INCLUSE dans A : ne JAMAIS additionner a A ; A - B = le reste,1.0.0
b_current,Shelly.GetComponents,$.b_current,Courant du sous-circuit B,A,"[0,63)",Calibre TC 63 A x 230 V nominal,mesuree,sous_comptage,Partie INCLUSE dans A : ne JAMAIS additionner a A ; A - B = le reste,1.0.0
b_current,Shelly.GetStatus,$.em:0.b_current,Courant du sous-circuit B,A,"[0,63)",Calibre TC 63 A x 230 V nominal,mesuree,sous_comptage,Partie INCLUSE dans A : ne JAMAIS additionner a A ; A - B = le reste,1.0.0
b_freq,Shelly.GetComponents,$.b_freq,Frequence du reseau mesuree sur la voie B,Hz,"[45,55)",Plage plausible reseau 50 Hz,mesuree,qualite_fourniture,Partie INCLUSE dans A : ne JAMAIS additionner a A ; A - B = le reste,1.0.0
b_freq,Shelly.GetStatus,$.em:0.b_freq,Frequence du reseau mesuree sur la voie B,Hz,"[45,55)",Plage plausible reseau 50 Hz,mesuree,qualite_fourniture,Partie INCLUSE dans A : ne JAMAIS additionner a A ; A - B = le reste,1.0.0
b_pf,Shelly.GetComponents,$.b_pf,Facteur de puissance du sous-circuit B : PF bas et stable = signature de charge inductive,sans unite,"[-1,1)",Definition physique du ratio,mesuree,sous_comptage,Inclut la distorsion : l ecart avec un cos phi reconstruit des energies chiffre les harmoniques,1.0.0
b_pf,Shelly.GetStatus,$.em:0.b_pf,Facteur de puissance du sous-circuit B : PF bas et stable = signature de charge inductive,sans unite,"[-1,1)",Definition physique du ratio,mesuree,sous_comptage,Inclut la distorsion : l ecart avec un cos phi reconstruit des energies chiffre les harmoniques,1.0.0
b_voltage,Shelly.GetComponents,$.b_voltage,Tension mesuree sur la voie B (meme conducteur que A : monophase),V,"[80,280)",Plausibilite capteur ; conformite fourniture 230 V +/-10 pct (207-253 V) a confirmer contractuellement,mesuree,qualite_fourniture,"Meme conducteur sur les 3 voies (monophase) : redondance = preuve, pas information",1.0.0
