source_rpc;nom_source;nom_normalise;classe;type;unite;plage;licence_usage;description
EM.GetStatus;a_act_power;A_power_inst;native;float;W;-14500..14500;reference;Puissance active instantanee voie A (TOTAL menage, 4 quadrants: signe possible)
EM.GetStatus;a_aprt_power;A_aprt_inst;native;float;VA;0..14500;reference;Puissance apparente instantanee voie A
EM.GetStatus;a_current;A_current_inst;native;float;A;0..63;reference_securite;Courant efficace voie A (calibre TC 63A, confronter au disjoncteur)
EM.GetStatus;a_voltage;A_voltage_inst;native;float;V;0..300 plausible / 207..253 conformite;qualite_fourniture;Tension efficace (meme conducteur sur A/B/C en monophase)
EM.GetStatus;a_pf;A_pf_inst;native;float;-;-1..1;reference;Facteur de puissance voie A (distorsion incluse)
EM.GetStatus;a_freq;A_freq_inst;native;float;Hz;45..55;qualite_fourniture;Frequence reseau (uniquement dans le flux instantane)
EM.GetStatus;b_act_power;B_power_inst;native;float;W;-14500..14500;sous_comptage;Puissance voie B INCLUSE dans A (jamais additionner)
EM.GetStatus;b_aprt_power;B_aprt_inst;native;float;VA;0..14500;sous_comptage;Apparente voie B
EM.GetStatus;b_current;B_current_inst;native;float;A;0..63;sous_comptage;Courant voie B
EM.GetStatus;b_voltage;B_voltage_inst;native;float;V;0..300;temoin_redondance;Tension voie B = meme conducteur que A (redondance probatoire)
EM.GetStatus;b_pf;B_pf_inst;native;float;-;-1..1;sous_comptage;PF voie B (signature de charge inductive: 0.59-0.69 observe)
EM.GetStatus;b_freq;B_freq_inst;native;float;Hz;45..55;temoin_redondance;Frequence via voie B (identique A)
EM.GetStatus;c_act_power;C_power_inst;native;float;W;-14500..14500;temoin;Voie C sans charge: zero attendu
EM.GetStatus;c_aprt_power;C_aprt_inst;native;float;VA;0..14500;temoin;Apparente residuelle C ~3.4 VA = plancher de bruit capteur
EM.GetStatus;c_current;C_current_inst;native;float;A;0..63;temoin;Courant residuel C ~0.015 A = plancher de sensibilite
EM.GetStatus;c_voltage;C_voltage_inst;native;float;V;0..300;temoin_redondance;Tension voie C = meme conducteur que A
EM.GetStatus;c_pf;C_pf_inst;native;float;-;-1..1;temoin;PF indefini sans courant (0.00)
EM.GetStatus;c_freq;C_freq_inst;native;float;Hz;45..55;temoin_redondance;Frequence via voie C
EM.GetStatus;n_current;N_current_inst;derivee;float|null;A;null;interdit;Courant neutre CALCULE sous hypothese triphasee: sans signification en monophase
EM.GetStatus;total_current;SYS_current_total_inst;derivee;float;A;0..189;interdit;Somme A+B+C: DOUBLE-COMPTE B et C en monophase
EM.GetStatus;total_act_power;SYS_power_total_inst;derivee;float;W;-43500..43500;interdit;Somme A+B+C: double-compte (preuve: 81.1 kWh affiches pour 59.7 reels)
EM.GetStatus;total_aprt_power;SYS_aprt_total_inst;derivee;float;VA;0..43500;interdit;Somme A+B+C: double-compte
EM.GetStatus;user_calibrated_phase;SYS_calib_user;systeme;array;-;[];metadonnee;Calibration utilisateur (vide = calibration usine)
Shelly.GetStatus+GetComponents;em:0.*;(idem EM.GetStatus);native;-;-;-;controle_croise;2e chemin des 20 grandeurs: coincidence exigee a chaque cycle (sauf rssi +-1 dB)
EMData.GetStatus;a_total_act_energy;A_energy_total_vie;native;float;Wh;0..inf croissant;reference_reconciliation;COMPTEUR CUMULATIF A VIE voie A (methode 2, 59690 Wh au 05/09)
EMData.GetStatus;a_total_act_ret_energy;A_energy_total_ret_vie;native;float;Wh;0..inf croissant;reference_reconciliation;Cumul a vie energie retournee A (363.64 Wh = inversion du 31/08 confirmee)
EMData.GetStatus;b_total_act_energy;B_energy_total_vie;native;float;Wh;0..inf croissant;sous_comptage;Cumul a vie voie B
EMData.GetStatus;b_total_act_ret_energy;B_energy_total_ret_vie;native;float;Wh;0..inf croissant;sous_comptage;Cumul retour B (0.00: jamais inversee)
