device_mac,ts,period_s,ingested_at,a_total_act_energy,a_fund_act_energy,a_total_act_ret_energy,a_fund_act_ret_energy,a_lag_react_energy,a_lead_react_energy,a_max_act_power,a_min_act_power,a_max_aprt_power,a_min_aprt_power,a_max_voltage,a_min_voltage,a_avg_voltage,a_max_current,a_min_current,a_avg_current,b_total_act_energy,b_fund_act_energy,b_total_act_ret_energy,b_fund_act_ret_energy,b_lag_react_energy,b_lead_react_energy,b_max_act_power,b_min_act_power,b_max_aprt_power,b_min_aprt_power,b_max_voltage,b_min_voltage,b_avg_voltage,b_max_current,b_min_current,b_avg_current,c_total_act_energy,c_fund_act_energy,c_total_act_ret_energy,c_fund_act_ret_energy,c_lag_react_energy,c_lead_react_energy,c_max_act_power,c_min_act_power,c_max_aprt_power,c_min_aprt_power,c_max_voltage,c_min_voltage,c_avg_voltage,c_max_current,c_min_current,c_avg_current,n_max_current,n_min_current,n_avg_current
A4F00FCCAF68,2026-08-31 16:33:00+00,60,2026-09-01 13:03:23.301483+00,0.003,0.0009,0,0,0,0,0,0,0,0,0,0,0,0.063,0.015,0.017,0.003,0.0009,0,0,0,0,0,0,0,0,0,0,0,0.062,0.014,0.016,0.0027,0.0012,0,0,0,0.0009,0,0,12.9,3.3,238.615,236.887,237.701,0.053,0.014,0.016,0.054,0.014,0.016
A4F00FCCAF68,2026-08-31 16:34:00+00,60,2026-09-01 13:03:23.301483+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.014,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.014,0.014,0,0,0,0,0,0,0,0,3.5,3.3,238.555,233.845,236.73,0.015,0.014,0.014,0.015,0.014,0.014
A4F00FCCAF68,2026-08-31 16:35:00+00,60,2026-09-01 13:03:23.301483+00,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,1.057,0.015,0.711,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,1.057,0.014,0.711,0,0,0.0006,0.0006,0,0.0003,0,0,3.5,3.2,238.456,233.779,236.708,0.015,0.014,0.014,0.014,0.014,0.014
A4F00FCCAF68,2026-08-31 16:36:00+00,60,2026-09-01 13:03:23.301483+00,0,0,0,0,0,0.0006,0,0,0,0,0,0,0,7.514,1.051,1.317,0,0,0,0,0,0.0006,0,0,0,0,0,0,0,7.455,1.05,1.316,0,0,0.0009,0.0009,0,0.0006,0,0,3.5,3.2,237.696,227.676,236.137,0.015,0.014,0.014,0.015,0.014,0.014
A4F00FCCAF68,2026-08-31 16:37:00+00,60,2026-09-01 13:03:23.301483+00,0.0006,0.0006,0,0,0,0.0009,0,0,0,0,0,0,0,2.001,1.825,1.898,0.0006,0.0003,0,0,0,0.0006,0,0,0,0,0,0,0,2.001,1.827,1.888,0.0594,0.06,0.0015,0.0015,0.0354,0.0654,57.6,-2,60.7,3.2,238.966,233.31,235.379,0.257,0.014,0.047,0.015,0.014,0.014
A4F00FCCAF68,2026-08-31 16:38:00+00,60,2026-09-01 13:03:23.301483+00,0.0003,0.0003,0,0,0,0.0006,0,0,0,0,0,0,0,1.839,1.823,1.831,0.0003,0.0006,0,0,0,0.0006,0,0,0,0,0,0,0,1.839,1.823,1.831,0,0,0.0003,0.0003,0,0.0009,0,0,3.5,3.2,239.389,232.685,236.081,0.015,0.014,0.014,0.015,0.014,0.014
A4F00FCCAF68,2026-08-31 16:39:00+00,60,2026-09-01 13:03:23.301483+00,0.0006,0.0003,0,0,0,0.0006,0,0,0,0,0,0,0,1.839,1.825,1.832,0.0003,0.0003,0,0,0,0.0006,0,0,0,0,0,0,0,1.839,1.825,1.832,0,0,0.0006,0.0006,0,0.0012,0,0,3.5,3.2,237.814,233.617,235.884,0.015,0.014,0.014,0.015,0.014,0.014
A4F00FCCAF68,2026-08-31 16:40:00+00,60,2026-09-01 13:03:23.59616+00,0.0003,0.0003,0,0,0,0.0009,0,0,0,0,0,0,0,4.542,1.781,1.866,0.0003,0.0003,0,0,0,0.0006,0,0,0,0,0,0,0,4.571,1.782,1.868,0,0,0.0009,0.0009,0,0.0012,0,0,3.5,3.2,238.684,234.506,237.269,0.015,0.014,0.014,0.015,0.014,0.014
A4F00FCCAF68,2026-08-31 16:41:00+00,60,2026-09-01 13:03:23.59616+00,0.0003,0.0003,0,0,0,0.0009,0,0,0,0,0,0,0,2.339,1.911,2.282,0.0003,0.0003,0,0,0,0.0009,0,0,0,0,0,0,0,2.34,1.913,2.283,0,0,0.0018,0.0018,0,0.0009,0,0,3.5,3.3,240.348,235.234,237.421,0.015,0.014,0.014,0.015,0.014,0.014
A4F00FCCAF68,2026-08-31 16:42:00+00,60,2026-09-01 13:03:23.59616+00,0.0003,0.0003,0,0,0,0.0009,0,0,0,0,0,0,0,2.334,2.041,2.223,0.0003,0.0003,0,0,0,0.0009,0,0,0,0,0,0,0,2.335,2.041,2.224,0,0,0.0018,0.0018,0,0.0012,0,0,3.5,3.3,238.85,235.134,237.788,0.015,0.014,0.014,0.015,0.014,0.014
