nom_normalise,domaine
A_aprt_inst,electrique
A_aprt_max_1m,electrique
A_aprt_min_1m,electrique
A_current_avg_1m,electrique
A_current_inst,electrique
A_current_max_1m,electrique
A_current_min_1m,electrique
A_energy_fund_1m,electrique
A_energy_fund_ret_1m,electrique
A_energy_lag_1m,electrique
A_energy_lead_1m,electrique
A_energy_total_1m,electrique
A_energy_total_ret_1m,electrique
A_energy_total_ret_vie,electrique
A_energy_total_vie,electrique
A_freq_inst,electrique
A_pf_inst,electrique
A_power_inst,electrique
A_power_max_1m,electrique
A_power_min_1m,electrique
A_voltage_avg_1m,electrique
A_voltage_inst,electrique
A_voltage_max_1m,electrique
A_voltage_min_1m,electrique
B_*_1m,electrique
B_aprt_inst,electrique
B_current_inst,electrique
B_energy_total_ret_vie,electrique
B_energy_total_vie,electrique
B_freq_inst,electrique
B_pf_inst,electrique
B_power_inst,electrique
B_voltage_inst,electrique
C_*_1m,electrique
C_aprt_inst,electrique
C_current_inst,electrique
C_energy_total_ret_vie,electrique
C_energy_total_vie,electrique
C_freq_inst,electrique
C_pf_inst,electrique
C_power_inst,electrique
C_voltage_inst,electrique
N_current_avg_1m,electrique
N_current_inst,electrique
N_current_max_1m,electrique
N_current_min_1m,electrique
SYS_aprt_total_inst,electrique
SYS_current_total_inst,electrique
SYS_energy_total_ret_vie,electrique
SYS_energy_total_vie,electrique
SYS_power_total_inst,electrique
REGLE_controle_croise_2methodes,qualite
SYS_ingested_at,qualite
SYS_ip_courante,qualite
SYS_rssi_inst,qualite
SYS_calib_user,systeme
SYS_cfg_rev,systeme
SYS_fs_inst,systeme
SYS_mac,systeme
SYS_period_s,systeme
SYS_ram_inst,systeme
SYS_reset_reason,systeme
SYS_restart_req,systeme
SYS_time_inst,systeme
SYS_uptime_inst,systeme
TS_utc_1m,temporel
SYS_temp_inst,thermique
