nom_normalise,frequence_emission,mode_acquisition
A_energy_total_ret_vie,compteur_a_la_demande,rpc_synchrone_sonde
A_energy_total_vie,compteur_a_la_demande,rpc_synchrone_sonde
B_energy_total_ret_vie,compteur_a_la_demande,rpc_synchrone_sonde
B_energy_total_vie,compteur_a_la_demande,rpc_synchrone_sonde
C_energy_total_ret_vie,compteur_a_la_demande,rpc_synchrone_sonde
C_energy_total_vie,compteur_a_la_demande,rpc_synchrone_sonde
SYS_energy_total_ret_vie,compteur_a_la_demande,rpc_synchrone_sonde
SYS_energy_total_vie,compteur_a_la_demande,rpc_synchrone_sonde
SYS_ip_courante,evenementielle,observation_externe
A_aprt_inst,instantanee_~1s_polling,polling_1s_P1
A_current_inst,instantanee_~1s_polling,polling_1s_P1
A_freq_inst,instantanee_~1s_polling,polling_1s_P1
A_pf_inst,instantanee_~1s_polling,polling_1s_P1
A_power_inst,instantanee_~1s_polling,polling_1s_P1
A_voltage_inst,instantanee_~1s_polling,polling_1s_P1
B_aprt_inst,instantanee_~1s_polling,polling_1s_P1
B_current_inst,instantanee_~1s_polling,polling_1s_P1
B_freq_inst,instantanee_~1s_polling,polling_1s_P1
B_pf_inst,instantanee_~1s_polling,polling_1s_P1
B_power_inst,instantanee_~1s_polling,polling_1s_P1
B_voltage_inst,instantanee_~1s_polling,polling_1s_P1
C_aprt_inst,instantanee_~1s_polling,polling_1s_P1
C_current_inst,instantanee_~1s_polling,polling_1s_P1
C_freq_inst,instantanee_~1s_polling,polling_1s_P1
C_pf_inst,instantanee_~1s_polling,polling_1s_P1
C_power_inst,instantanee_~1s_polling,polling_1s_P1
C_voltage_inst,instantanee_~1s_polling,polling_1s_P1
N_current_inst,instantanee_~1s_polling,polling_1s_P1
SYS_aprt_total_inst,instantanee_~1s_polling,polling_1s_P1
SYS_current_total_inst,instantanee_~1s_polling,polling_1s_P1
SYS_fs_inst,instantanee_~1s_polling,polling_1s_P1
SYS_power_total_inst,instantanee_~1s_polling,polling_1s_P1
SYS_ram_inst,instantanee_~1s_polling,polling_1s_P1
SYS_rssi_inst,instantanee_~1s_polling,polling_1s_P1
SYS_temp_inst,instantanee_~1s_polling,polling_1s_P1
SYS_time_inst,instantanee_~1s_polling,polling_1s_P1
SYS_uptime_inst,instantanee_~1s_polling,polling_1s_P1
A_aprt_max_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_aprt_min_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_current_avg_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_current_max_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_current_min_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_energy_fund_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_energy_fund_ret_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_energy_lag_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_energy_lead_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_energy_total_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_energy_total_ret_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_power_max_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_power_min_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_voltage_avg_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_voltage_max_1m,synthetique_60s_memoire,historique_GetRecords_60s
A_voltage_min_1m,synthetique_60s_memoire,historique_GetRecords_60s
B_*_1m,synthetique_60s_memoire,historique_GetRecords_60s
C_*_1m,synthetique_60s_memoire,historique_GetRecords_60s
N_current_avg_1m,synthetique_60s_memoire,historique_GetRecords_60s
N_current_max_1m,synthetique_60s_memoire,historique_GetRecords_60s
N_current_min_1m,synthetique_60s_memoire,historique_GetRecords_60s
TS_utc_1m,synthetique_60s_memoire,historique_GetRecords_60s
REGLE_controle_croise_2methodes,systeme_a_la_demande,rpc_synchrone_sonde
SYS_calib_user,systeme_a_la_demande,rpc_synchrone_sonde
SYS_cfg_rev,systeme_a_la_demande,rpc_synchrone_sonde
SYS_ingested_at,systeme_a_la_demande,rpc_synchrone_sonde
SYS_mac,systeme_a_la_demande,rpc_synchrone_sonde
SYS_period_s,systeme_a_la_demande,rpc_synchrone_sonde
SYS_reset_reason,systeme_a_la_demande,rpc_synchrone_sonde
SYS_restart_req,systeme_a_la_demande,rpc_synchrone_sonde
