nom_normalise,nature
A_aprt_inst,CALCULEE
A_pf_inst,CALCULEE
B_aprt_inst,CALCULEE
B_pf_inst,CALCULEE
C_aprt_inst,CALCULEE
C_pf_inst,CALCULEE
A_energy_total_ret_vie,CUMULATIVE
A_energy_total_vie,CUMULATIVE
B_energy_total_ret_vie,CUMULATIVE
B_energy_total_vie,CUMULATIVE
C_energy_total_ret_vie,CUMULATIVE
C_energy_total_vie,CUMULATIVE
A_aprt_max_1m,DERIVEE
A_aprt_min_1m,DERIVEE
A_current_avg_1m,DERIVEE
A_current_max_1m,DERIVEE
A_current_min_1m,DERIVEE
A_energy_fund_1m,DERIVEE
A_energy_fund_ret_1m,DERIVEE
A_energy_lag_1m,DERIVEE
A_energy_lead_1m,DERIVEE
A_energy_total_1m,DERIVEE
A_energy_total_ret_1m,DERIVEE
A_power_max_1m,DERIVEE
A_power_min_1m,DERIVEE
A_voltage_avg_1m,DERIVEE
A_voltage_max_1m,DERIVEE
A_voltage_min_1m,DERIVEE
N_current_avg_1m,DERIVEE_INTERDITE
N_current_inst,DERIVEE_INTERDITE
N_current_max_1m,DERIVEE_INTERDITE
N_current_min_1m,DERIVEE_INTERDITE
SYS_aprt_total_inst,DERIVEE_INTERDITE
SYS_current_total_inst,DERIVEE_INTERDITE
SYS_energy_total_ret_vie,DERIVEE_INTERDITE
SYS_energy_total_vie,DERIVEE_INTERDITE
SYS_power_total_inst,DERIVEE_INTERDITE
REGLE_controle_croise_2methodes,INDICATEUR
SYS_ingested_at,INDICATEUR
SYS_ip_courante,INDICATEUR
SYS_rssi_inst,INDICATEUR
A_current_inst,NATIVE
A_freq_inst,NATIVE
A_power_inst,NATIVE
A_voltage_inst,NATIVE
B_*_1m,NATIVE
B_current_inst,NATIVE
B_freq_inst,NATIVE
B_power_inst,NATIVE
B_voltage_inst,NATIVE
C_*_1m,NATIVE
C_current_inst,NATIVE
C_freq_inst,NATIVE
C_power_inst,NATIVE
C_voltage_inst,NATIVE
SYS_temp_inst,NATIVE
SYS_calib_user,SYSTEME
SYS_cfg_rev,SYSTEME
SYS_fs_inst,SYSTEME
SYS_mac,SYSTEME
SYS_period_s,SYSTEME
SYS_ram_inst,SYSTEME
SYS_reset_reason,SYSTEME
SYS_restart_req,SYSTEME
SYS_time_inst,SYSTEME
SYS_uptime_inst,SYSTEME
TS_utc_1m,SYSTEME
