nom_normalise,source_physique,rpc,table_pg,colonne_source,vues_derivees,exports,independance
A_aprt_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",a_aprt_power,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
A_aprt_max_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_max_aprt_power,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_aprt_min_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_min_aprt_power,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_current_avg_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_avg_current,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_current_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",a_current,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
A_current_max_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_max_current,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_current_min_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_min_current,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_energy_fund_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_fund_act_energy,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_energy_fund_ret_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_fund_act_ret_energy,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_energy_lag_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_lag_react_energy,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
